Tanggal,DXY_Index,Harga_Emas,Kurs_USDIDR,IHSG_Index,BI_Rate
2025-06-12,97.91999816894531,3380.89990234375,15778.0,7204.3701171875,5.75
2025-06-13,98.18000030517578,3431.199951171875,16164.5,7166.06494140625,5.75
2025-06-16,98.0,3396.39990234375,16282.599609375,7117.5908203125,5.75
2025-06-17,98.81999969482422,3386.60009765625,15801.0,7155.85205078125,5.75
2025-06-18,98.91000366210938,3389.800048828125,16275.0,7107.7890625,5.75
2025-06-20,98.70999908447266,3368.10009765625,16390.0,6907.13818359375,5.75
2025-06-23,98.41999816894531,3377.699951171875,16431.0,6787.14013671875,5.75
2025-06-24,97.86000061035156,3317.39990234375,16370.0,6869.1708984375,5.75
2025-06-25,97.68000030517578,3327.10009765625,16290.0,6832.14306640625,5.75
2025-06-26,97.1500015258789,3333.5,16290.0,6897.39990234375,5.75
2025-06-30,96.87999725341797,3294.39990234375,16229.0,6927.67919921875,5.75
2025-07-01,96.81999969482422,3336.699951171875,16230.0,6915.35986328125,5.75
2025-07-02,96.77999877929688,3348.0,16236.400390625,6881.2451171875,5.75
2025-07-03,97.18000030517578,3331.60009765625,16235.0,6878.05078125,5.75
2025-07-07,97.4800033569336,3332.199951171875,16178.0,6900.93212890625,5.75
2025-07-08,97.51000213623047,3307.0,16318.900390625,6904.39208984375,5.75
2025-07-09,97.47000122070312,3311.60009765625,16261.0,6943.921875,5.75
2025-07-10,97.6500015258789,3317.39990234375,16235.0,7005.37109375,5.75
2025-07-11,97.8499984741211,3356.0,16209.099609375,7047.43798828125,5.75
2025-07-14,98.08000183105469,3351.5,16222.0,7097.15087890625,5.75
2025-07-15,98.62000274658203,3329.800048828125,16256.2001953125,7140.47412109375,5.75
2025-07-16,98.38999938964844,3352.5,16252.099609375,7192.01806640625,5.75
2025-07-17,98.7300033569336,3340.10009765625,16271.2001953125,7287.02099609375,5.75
2025-07-18,98.4800033569336,3353.0,16329.7001953125,7311.9150390625,5.75
2025-07-21,97.8499984741211,3401.89990234375,16321.0,7398.19189453125,5.75
2025-07-22,97.38999938964844,3439.199951171875,16329.5,7344.73583984375,5.75
2025-07-23,97.20999908447266,3394.10009765625,16245.2998046875,7469.22998046875,5.75
2025-07-24,97.37999725341797,3371.0,16266.099609375,7530.90185546875,5.75
2025-07-25,97.6500015258789,3334.0,16307.0,7543.5029296875,5.75
2025-07-28,98.66000366210938,3309.10009765625,16353.0,7614.76806640625,5.75
2025-07-29,98.91000366210938,3323.39990234375,16398.80078125,7617.9072265625,5.75
2025-07-30,99.94000244140625,3295.800048828125,16367.900390625,7549.88818359375,5.75
2025-07-31,100.02999877929688,3293.199951171875,16426.80078125,7484.3369140625,5.75
2025-08-01,98.69000244140625,3347.699951171875,16483.0,7537.76806640625,5.75
2025-08-04,98.77999877929688,3374.39990234375,16483.0,7464.64501953125,5.75
2025-08-05,98.77999877929688,3381.89990234375,16362.0,7515.18505859375,5.75
2025-08-06,98.18000030517578,3380.0,16377.5,7503.75,5.75
2025-08-07,98.4000015258789,3400.300048828125,16334.7001953125,7490.18310546875,5.75
2025-08-08,98.18000030517578,3439.10009765625,16300.0,7533.384765625,5.75
2025-08-11,98.5199966430664,3353.10009765625,16249.0,7605.9248046875,5.75
2025-08-12,98.0999984741211,3348.89990234375,16298.0,7791.69677734375,5.75
2025-08-13,97.83999633789062,3358.699951171875,16248.2001953125,7892.9111328125,5.75
2025-08-14,98.25,3335.199951171875,16109.0,7931.2509765625,5.75
2025-08-15,97.8499984741211,3336.0,16169.0,7898.375,5.75
2025-08-19,98.2699966430664,3313.39990234375,16205.400390625,7862.94921875,5.75
2025-08-20,98.22000122070312,3343.39990234375,16275.2001953125,7943.8251953125,5.75
2025-08-21,98.62000274658203,3336.89990234375,16263.599609375,7890.71484375,5.75
2025-08-22,97.72000122070312,3374.39990234375,16339.7001953125,7858.85107421875,5.75
2025-08-25,98.43000030517578,3373.800048828125,16227.0,7926.9072265625,5.75
2025-08-26,98.2300033569336,3388.60009765625,16267.0,7905.7568359375,5.75
